id,nome,categoria,grupo_muscular,equipamento,nivel,slug
treino_001,Bike – Queima Gordura,Cardio,,Bike,"['Iniciante', 'Intermediário', 'Avançado']",bike_queima_gordura
treino_002,Bike Horizontal – Queima Gordura,Cardio,,Bike horizontal,"['Iniciante', 'Intermediário', 'Avançado']",bike_horizontal_queima_gordura
treino_003,Caminhada – Queima Gordura,Cardio,,Livre / esteira,['Iniciante'],caminhada_queima_gordura
treino_004,Esteira – Caminhada/Corrida – Queima Gordura,Cardio,,Esteira,"['Iniciante', 'Intermediário', 'Avançado']",esteira_caminhada_corrida_queima_gordura
treino_005,Bike Spinning – Queima Gordura,Cardio,,Bike spinning,"['Iniciante', 'Intermediário', 'Avançado']",bike_spinning_queima_gordura
treino_006,Simulador de Escada – Queima Gordura,Cardio,,Simulador de escada,"['Intermediário', 'Avançado']",simulador_de_escada_queima_gordura
treino_007,Elíptico – Queima Gordura,Cardio,,Elíptico,"['Iniciante', 'Intermediário', 'Avançado']",eliptico_queima_gordura
treino_008,Abdominal Supra no Solo,Hipertrofia / Core,Abdômen,Nenhum,"['Iniciante', 'Intermediário']",abdominal_supra_no_solo
treino_009,Abdominal – Queima Gordura,Hipertrofia / Core,Abdômen,Nenhum,"['Iniciante', 'Intermediário']",abdominal_queima_gordura
treino_010,Abdominal Supra com Toque nos Joelhos – Unilateral,Hipertrofia / Core,Abdômen,Nenhum,"['Iniciante', 'Intermediário']",abdominal_supra_com_toque_nos_joelhos_unilateral
treino_011,Abdominal Remador,Hipertrofia / Core,Abdômen,Nenhum,"['Intermediário', 'Avançado']",abdominal_remador
treino_012,Prancha Abdominal – Isometria,Hipertrofia / Core,Core / abdômen,Nenhum,"['Iniciante', 'Intermediário', 'Avançado']",prancha_abdominal_isometria
treino_013,Abdominal na Máquina,Hipertrofia / Core,Abdômen,Máquina abdominal,"['Iniciante', 'Intermediário', 'Avançado']",abdominal_na_maquina
treino_014,Abdominal Infra na Paralela,Hipertrofia / Core,Abdômen inferior,Paralela,"['Iniciante', 'Intermediário', 'Avançado']",abdominal_infra_na_paralela
treino_015,Mobilidade de Ombros,Flexibilidade / Mobilidade,Ombros,Nenhum,"['Iniciante', 'Intermediário', 'Avançado']",mobilidade_de_ombros
treino_016,Alongamento de Superiores no Espaldar,Flexibilidade / Mobilidade,Membros superiores,Espaldar,"['Iniciante', 'Intermediário', 'Avançado']",alongamento_de_superiores_no_espaldar
treino_017,Aquecimento de Membros Inferiores com Agachamento e Afundo,Aquecimento / Mobilidade,Membros inferiores,Nenhum,"['Iniciante', 'Intermediário', 'Avançado']",aquecimento_de_membros_inferiores_com_agachamento_e_afundo
