id,nome,slug,imagem,score,status
treino_001,Bike – Queima Gordura,bike_queima_gordura,mulher_pedalando_em_bike_neon_roxa.jpg,55,mapped
treino_002,Bike Horizontal – Queima Gordura,bike_horizontal_queima_gordura,mulher_treinando_em_bicicleta_reclinada_neon.jpg,100,mapped
treino_003,Caminhada – Queima Gordura,caminhada_queima_gordura,caminhada_fitness_neon_roxo.jpg,35,mapped
treino_004,Esteira – Caminhada/Corrida – Queima Gordura,esteira_caminhada_corrida_queima_gordura,corrida_fitness_neon_em_roxo_intens_o.jpg,35,mapped
treino_005,Bike Spinning – Queima Gordura,bike_spinning_queima_gordura,retrato_neon_na_bicicleta_de_spinning.jpg,55,mapped
treino_006,Simulador de Escada – Queima Gordura,simulador_de_escada_queima_gordura,16_simulador_de_escada_queima_gordura.jpg,85,mapped
treino_007,Elíptico – Queima Gordura,eliptico_queima_gordura,17_eliptico_queima_gordura.jpg,75,mapped
treino_008,Abdominal Supra no Solo,abdominal_supra_no_solo,abdominal_com_brilho_roxo.jpg,35,mapped
treino_009,Abdominal – Queima Gordura,abdominal_queima_gordura,crunch_abdominal_com_brilho_neon_roxo.jpg,35,mapped
treino_010,Abdominal Supra com Toque nos Joelhos – Unilateral,abdominal_supra_com_toque_nos_joelhos_unilateral,treino_abdominal_com_brilho_violeta.jpg,35,mapped
treino_011,Abdominal Remador,abdominal_remador,treino_abdominal_remador_em_neon_roxo.jpg,85,mapped
treino_012,Prancha Abdominal – Isometria,prancha_abdominal_isometria,prancha_fitness_com_brilho_roxo.jpg,35,mapped
treino_013,Abdominal na Máquina,abdominal_na_maquina,treino_abdominal_com_estilo_neon_roxo.jpg,35,mapped
treino_014,Abdominal Infra na Paralela,abdominal_infra_na_paralela,crunch_com_estilo_neon_roxo.jpg,25,mapped
treino_015,Mobilidade de Ombros,mobilidade_de_ombros,pressão_de_ombros_com_halteres_em_neon.jpg,15,override_shared
treino_016,Alongamento de Superiores no Espaldar,alongamento_de_superiores_no_espaldar,alongamento_fitness_com_luzes_roxas.jpg,35,mapped
treino_017,Aquecimento de Membros Inferiores com Agachamento e Afundo,aquecimento_de_membros_inferiores_com_agachamento_e_afundo,afundo_búlgaro_com_halteres_em_academia_neon.jpg,35,mapped
treino_018,Alongamento de Membros Inferiores no Espaldar,alongamento_de_membros_inferiores_no_espaldar,alongamento_fitness_sob_luz_púrpura.jpg,35,mapped
treino_019,Simulação de Pular Corda,simulacao_de_pular_corda,mulher_fitness_pulando_corda_neon.jpg,35,mapped
treino_020,Agachamento com Salto,agachamento_com_salto,agachamento_búlgaro_em_luz_neon.jpg,35,mapped
treino_021,Agachamento com Passada Lateral,agachamento_com_passada_lateral,agachamento_lateral_no_estúdio_neon.jpg,45,mapped
treino_022,Agachamento com Salto Lateral no Step,agachamento_com_salto_lateral_no_step,agachamento_búlgaro_neon_lily_fit.jpg,35,mapped
treino_023,Polichinelo,polichinelo,estrela_fitness_em_neon_roxo.jpg,30,override_unused
treino_024,Burpee,burpee,treino_dinâmico_sob_luzes_roxas.jpg,30,override_unused
treino_025,Escalador,escalador,treino_mountain_climber_com_glow_roxo.jpg,30,override_unused
treino_026,Aquecimento com Agachamento + Recuo + Avanço,aquecimento_com_agachamento_recuo_avanco,agachamento_búlgaro_sob_luz_neon_roxa.jpg,35,mapped
treino_027,Agachamento no TRX,agachamento_no_trx,agachamento_com_halter_sob_luz_neon_roxa.jpg,35,mapped
treino_028,Afundo no TRX,afundo_no_trx,mulher_em_afundo_com_trx_sob_luz_neon_roxa.jpg,70,mapped
treino_029,Afundo no Step sem Peso,afundo_no_step_sem_peso,afundo_com_halteres_sob_luz_neon_roxa.jpg,35,mapped
treino_030,Agachamento no Banco/Cadeira/Caixote,agachamento_no_banco_cadeira_caixote,agachamento_com_halteres_sob_luz_neon.jpg,35,mapped
treino_031,Afundo com Halteres,afundo_com_halteres,afundo_fitness_em_luz_roxa.jpg,35,mapped
treino_032,Afundo com Halteres no Step,afundo_com_halteres_no_step,afundo_no_smith_sob_luz_púrpura.jpg,35,mapped
treino_033,Agachamento Taça,agachamento_taca,agachamento_com_neon_roxo_no_ginásio.jpg,35,mapped
treino_034,Cadeira Extensora,cadeira_extensora,treino_neon_roxo_na_máquina_extensora.jpg,35,mapped
treino_035,Leg Press 45°,leg_press_45,atleta_no_leg_press_sob_luz_roxa.jpg,45,mapped
treino_036,Agachamento Hack Squat,agachamento_hack_squat,agachamento_no_hack_sob_luz_violeta.jpg,70,mapped
treino_037,Agachamento Livre,agachamento_livre,agachamento_fitness_com_brilho_roxo.jpg,35,mapped
treino_038,Agachamento Smith,agachamento_smith,agachamento_no_smith_sob_luz_púrpura.jpg,70,mapped
treino_039,Agachamento Smith Profundo,agachamento_smith_profundo,agachamento_no_smith_sob_luz_roxa.jpg,70,mapped
treino_040,Afundo no Smith,afundo_no_smith,treino_neon_com_curls_e_afundo.jpg,35,mapped
treino_041,Leg Press Horizontal,leg_press_horizontal,mulher_sorridente_no_leg_press_neon_roxo.jpg,45,mapped
treino_042,Agachamento Livre com Halteres,agachamento_livre_com_halteres,agachamento_sumô_com_halteres_neon.jpg,45,mapped
treino_043,Máquina Adutora,maquina_adutora,treino_adutor_em_academia_neon_roxa.jpg,25,mapped
treino_044,Agachamento Pêndulo,agachamento_pendulo,agachamento_fitness_sob_luz_neon_roxa.jpg,35,mapped
treino_045,Elevação Pélvica no Solo com Peso Corporal,elevacao_pelvica_no_solo_com_peso_corporal,elevação_frontal_com_peso_em_luz_roxa.jpg,20,mapped
treino_046,Cadeira Abdutora,cadeira_abdutora,treino_de_abdução_com_neon_roxo.jpg,15,override_shared
treino_047,Stiff Unilateral,stiff_unilateral,levantamento_terra_com_brilho_violeta.jpg,25,mapped
treino_048,Glúteo 4 Apoios com Perna Estendida e Caneleira,gluteo_4_apoios_com_perna_estendida_e_caneleira,chute_de_glúteo_com_neon_roxo.jpg,30,override_unused
treino_049,Glúteo 4 Apoios com Caneleira,gluteo_4_apoios_com_caneleira,kickback_no_estúdio_fitness_neon.jpg,30,override_unused
treino_050,Abdução com Caneleira,abducao_com_caneleira,treino_de_abdução_com_neon_roxo.jpg,35,mapped
treino_051,Glúteo em Pé – Coice,gluteo_em_pe_coice,chute_de_glúteo_com_neon_roxo.jpg,15,override_shared
treino_052,Agachamento Búlgaro com Halteres,agachamento_bulgaro_com_halteres,agachamento_sumô_com_halteres_neon_roxo.jpg,45,mapped
treino_053,Afundo com Recuo e Rosca Direta,afundo_com_recuo_e_rosca_direta,rosca_bíceps_no_estúdio_roxo.jpg,35,mapped
treino_054,Afundo com Recuo e Halteres,afundo_com_recuo_e_halteres,lunge_e_remada_com_estilo_roxo.jpg,25,mapped
treino_055,Glúteo Coice no Cabo – Polia Baixa,gluteo_coice_no_cabo_polia_baixa,glúteos_em_destaque_no_treino_neon.jpg,30,override_unused
treino_056,Glúteo na Polia com Cabo no Quadríceps,gluteo_na_polia_com_cabo_no_quadriceps,treino_de_glúteos_com_luz_neon_roxa.jpg,30,override_unused
treino_057,Agachamento Sumô no Step,agachamento_sumo_no_step,agachamento_sumo_com_kettlebell_neon.jpg,70,mapped
treino_058,Levantamento Terra Sumô,levantamento_terra_sumo,levantamento_terra_sumô_em_neon_roxo.jpg,95,mapped
treino_059,Agachamento Sumô na Máquina,agachamento_sumo_na_maquina,agachamento_sumô_sob_luz_neon_roxa.jpg,70,mapped
